Rank,Player Name,Pos,Opp,$,AVG ADP,Trend,Points,YDS,YPC,Rush,REC,TD,YPR,Rec/Tar Game,QB Att/Game,QB YPC
1,Saquon Barkley,RB,DAL,67,3,no change,17.8,108,4.6,20,2,1,7.7,2.0/0.0,0.0,0.0
2,Bijan Robinson,RB,TB,65,2,no change,20.1,123,5.1,18,4,1,8.1,3.7/0.0,0.0,0.0
3,Christian McCaffrey,RB,@SEA,64,7,no change,18.3,108,4.3,16,4,1,8.5,4.4/0.0,0.0,0.0
4,Jahmyr Gibbs,RB,@GB,62,4,no change,15.4,92,5.0,14,3,1,7.8,2.9/0.0,0.0,0.0
5,Ja'Marr Chase,WR,@CLE,62,1,no change,16.6,91,0.0,N/A,7,1,13.6,6.7/0.0,0.0,0.0
6,Puka Nacua,WR,HOU,59,13,no change,15.8,90,0.0,N/A,7,1,13.0,6.9/0.0,0.0,0.0
7,Justin Jefferson,WR,@CHI,59,6,no change,16.7,93,0.0,N/A,7,1,13.1,7.1/0.0,0.0,0.0
8,Malik Nabers,WR,@WAS,57,10,no change,15.4,87,0.0,N/A,7,1,12.2,7.1/0.0,0.0,0.0
9,De'Von Achane,RB,@IND,55,16,no change,17.1,104,4.4,15,5,1,7.6,4.9/0.0,0.0,0.0
10,Jonathan Taylor,RB,MIA,53,19,no change,17.7,108,4.5,22,2,1,5.9,1.9/0.0,0.0,0.0
11,Chase Brown,RB,@CLE,52,21,no change,14.7,92,4.4,15,3,1,7.9,3.1/0.0,0.0,0.0
12,Mike Evans,WR,@ATL,51,33,no change,14.9,79,0.0,N/A,6,1,13.7,5.8/0.0,0.0,0.0
13,Derrick Henry,RB,@BUF,51,9,no change,16.5,99,5.0,18,1,1,8.0,1.3/0.0,0.0,0.0
14,Drake London,WR,TB,48,15,no change,15.1,80,0.0,N/A,6,1,12.6,6.3/0.0,0.0,0.0
15,CeeDee Lamb,WR,@PHI,46,5,no change,15.6,84,6.0,1,7,1,11.5,6.8/0.0,0.0,0.0
16,Bucky Irving,RB,@ATL,44,20,no change,17.2,105,4.6,18,3,1,8.0,2.8/0.0,0.0,0.0
17,Ashton Jeanty,RB,@NE,43,11,no change,15.3,99,4.5,17,3,1,7.4,3.1/0.0,0.0,0.0
18,Brian Thomas Jr.,WR,CAR,41,14,no change,15.3,88,0.0,N/A,6,1,13.9,6.3/0.0,0.0,0.0
19,James Conner,RB,@NO,40,46,no change,17.3,102,4.5,19,3,1,7.1,2.6/0.0,0.0,0.0
20,Josh Jacobs,RB,DET,39,17,no change,15.5,96,4.5,17,3,1,8.0,2.6/0.0,0.0,0.0
21,Amon-Ra St. Brown,WR,@GB,38,8,no change,14.5,79,5.0,N/A,7,1,11.9,6.5/0.0,0.0,0.0
22,Chuba Hubbard,RB,@JAX,38,48,no change,11.4,74,4.4,14,2,N/A,6.7,2.1/0.0,0.0,0.0
23,Kyren Williams,RB,HOU,36,26,no change,13.1,83,4.3,17,2,1,6.3,1.8/0.0,0.0,0.0
24,Alvin Kamara,RB,ARI,35,38,no change,13.1,80,4.5,10,5,N/A,7.5,4.9/0.0,0.0,0.0
25,Nico Collins,WR,@LAR,35,12,no change,15.9,92,0.0,N/A,6,1,14.6,6.3/0.0,0.0,0.0
26,A.J. Brown,WR,DAL,34,18,no change,13.2,78,0.0,N/A,5,N/A,14.6,5.3/0.0,0.0,0.0
27,Jaxon Smith-Njigba,WR,SF,33,31,no change,12.3,68,0.0,N/A,6,N/A,11.9,5.7/0.0,0.0,0.0
28,Kenneth Walker III,RB,SF,32,42,no change,13.6,87,4.3,15,3,1,7.4,2.8/0.0,0.0,0.0
29,James Cook,RB,BAL,31,28,no change,13.8,87,4.4,15,3,1,7.9,2.8/0.0,0.0,0.0
30,Xavier Worthy,WR,@LAC,30,57,no change,13.2,74,5.8,1,6,1,12.2,5.5/0.0,0.0,0.0
31,Tee Higgins,WR,@CLE,30,29,no change,14.1,75,0.0,N/A,6,1,12.9,5.8/0.0,0.0,0.0
32,Trey McBride,TE,@NO,30,27,no change,13.1,69,0.0,N/A,7,N/A,9.9,7.0/0.0,0.0,0.0
33,Tyreek Hill,WR,@IND,30,32,no change,13.5,77,7.0,1,6,1,13.3,5.5/0.0,0.0,0.0
34,Ladd McConkey,WR,KC,29,25,no change,13.7,78,0.0,N/A,6,N/A,12.8,6.1/0.0,0.0,0.0
35,Tetairoa McMillan,WR,@JAX,28,53,no change,11.7,66,0.0,N/A,5,N/A,12.3,5.4/0.0,0.0,0.0
36,Brock Bowers,TE,@NE,28,22,no change,13.7,73,0.0,N/A,7,N/A,10.3,7.1/0.0,0.0,0.0
37,Tyrone Tracy Jr.,RB,@WAS,28,77,no change,11.2,72,4.2,13,2,N/A,6.6,2.3/0.0,0.0,0.0
38,Terry Mclaurin,WR,NYG,27,37,no change,12.8,71,0.0,N/A,5,1,13.6,5.2/0.0,0.0,0.0
39,Davante Adams,WR,HOU,27,45,no change,12.9,67,0.0,N/A,5,1,12.4,5.4/0.0,0.0,0.0
40,Courtland Sutton,WR,TEN,26,52,no change,13.8,77,0.0,N/A,6,1,13.3,5.8/0.0,0.0,0.0
41,Omarion Hampton,RB,KC,26,36,no change,9.8,58,4.1,11,2,1,7.1,2.0/0.0,0.0,0.0
42,George Kittle,TE,@SEA,25,35,no change,12.7,71,0.0,N/A,6,N/A,12.8,5.6/0.0,0.0,0.0
