player_id,full_name,first_name,last_name,team,position,fantasy_positions,status,injury_status,injury_start_date,practice_participation,age,height,weight,metadata
6462,Ellis Richardson,Ellis,Richardson,,TE,['TE'],Active,,,,26.0,75,245,"{""channel_id"":""1116853254748110848""}"
11255,Nick Amoah,Nick,Amoah,,OL,['OL'],Active,,,,,74,306,"{""channel_id"":""1116852669114220544"",""rookie_year"":""""}"
8842,Malkelm Morrison,Malkelm,Morrison,,CB,['DB'],Injured Reserve,,,,,70,186,"{""channel_id"":""1116853537213513728"",""years_exp_shift"":""1""}"
7926,Carl Tucker,Carl,Tucker,,TE,['TE'],Active,,,,24.0,74,250,"{""channel_id"":""1116853436709601280""}"
1875,C.J. Mosley,C.J.,Mosley,,LB,['LB'],Active,Questionable,,,32.0,74,231,"{""channel_id"":""1113708745461886977"",""rookie_year"":""2014""}"
8478,Samuel Womack,Samuel,Womack,TEN,CB,['DB'],Active,,,,26.0,70,189,"{""channel_id"":""1113708876978483201"",""rookie_year"":""2022""}"
995,Ron Parker,Ron,Parker,,FS,['DB'],Injured Reserve,,,,34.0,72,206,
1408,Le'Veon Bell,Le'Veon,Bell,TB,RB,['RB'],Active,,,,29.0,73,225,"{""channel_id"":""1116852736248250368""}"
8074,Matt Seybert,Matt,Seybert,,TE,['TE'],Active,,,,24.0,76,252,"{""channel_id"":""1116853462399713280""}"
156,William Gay,William,Gay,,CB,['DB'],Inactive,,,,35.0,"5'10""",187,
7311,Javin White,Javin,White,,LB,"['DB', 'LB']",Active,,,,27.0,74,211,"{""channel_id"":""1116853366710861824"",""rookie_year"":""2020""}"
2091,Bashaud Breeland,Bashaud,Breeland,ARI,CB,['DB'],Active,,,,30.0,71,197,"{""channel_id"":""1116852779298586624""}"
13175,Kinkead Dent,Kinkead,Dent,,QB,['QB'],Active,,,,24.0,76,215,"{""channel_id"":""1225943136610562048"",""rookie_year"":""0""}"
11533,Brandon Aubrey,Brandon,Aubrey,DAL,K,['K'],Active,,,,30.0,75,218,"{""channel_id"":""1113708850915078145"",""rookie_year"":""2023""}"
2508,Amarlo Herrera,Amarlo,Herrera,,LB,['LB'],Inactive,,,,28.0,"6'1""",249,
2199,Kasim Edebali,Kasim,Edebali,,DE,"['DL', 'LB']",Inactive,,,,32.0,74,253,"{""channel_id"":""1116852786479235072""}"
2881,Tyler Slavin,Tyler,Slavin,,WR,['WR'],Inactive,,,,26.0,"6'2""",215,
2064,DeMarcus Lawrence,DeMarcus,Lawrence,SEA,DE,['DL'],Active,,,,33.0,75,254,"{""channel_id"":""1113708852156592128"",""rookie_year"":""2014""}"
1284,Lance Dunbar,Lance,Dunbar,,RB,['RB'],Inactive,,,,30.0,"5'8""",187,
