league_id,roster_id,owner_id,co_owner_ids,starters,players,reserve,settings
1257071160403709954,1,847307020301361152,,"[""11564"",""6813"",""7588"",""7564"",""8112"",""7002"",""5045"",""12529"",""6650"",""GB""]","[""11564"",""11637"",""12517"",""12529"",""1426"",""4981"",""4988"",""5045"",""6650"",""6813"",""7002"",""7564"",""7588"",""8112"",""GB""]",,"{""fpts"":100,""fpts_against"":137,""fpts_against_decimal"":90,""fpts_decimal"":78,""losses"":2,""ppts"":135,""ppts_decimal"":48,""ties"":0,""total_moves"":0,""waiver_budget_used"":0,""waiver_position"":9,""wins"":0}"
1257071160403709954,2,728452958819348480,,"[""7591"",""9221"",""8205"",""5859"",""2133"",""8130"",""6783"",""11638"",""11533"",""DEN""]","[""10444"",""11533"",""11563"",""11638"",""12484"",""12495"",""1479"",""2133"",""5859"",""6783"",""7591"",""8130"",""8205"",""9221"",""DEN""]",,"{""fpts"":105,""fpts_against"":105,""fpts_against_decimal"":62,""fpts_decimal"":4,""losses"":2,""ppts"":130,""ppts_decimal"":14,""ties"":0,""total_moves"":0,""waiver_budget_used"":0,""waiver_position"":8,""wins"":0}"
1257071160403709954,3,639248377158139904,,"[""6770"",""3198"",""9226"",""8146"",""7525"",""4066"",""5967"",""8126"",""7839"",""MIN""]","[""12501"",""3198"",""4037"",""4066"",""5022"",""5967"",""6770"",""6803"",""7523"",""7525"",""7839"",""8126"",""8146"",""9226"",""9501"",""9753"",""MIN""]","[""4037"",""6803""]","{""fpts"":109,""fpts_against"":117,""fpts_against_decimal"":28,""fpts_decimal"":22,""losses"":2,""ppts"":127,""ppts_decimal"":72,""ties"":0,""total_moves"":0,""waiver_budget_used"":0,""waiver_position"":4,""wins"":0}"
1257071160403709954,4,862224719615770624,,"[""4892"",""5850"",""8155"",""9493"",""6801"",""12518"",""11655"",""6806"",""8259"",""ARI""]","[""10229"",""11655"",""12518"",""1689"",""4892"",""5012"",""5850"",""6801"",""6806"",""7571"",""8121"",""8155"",""8259"",""8676"",""9493"",""ARI""]","[""10229""]","{""fpts"":117,""fpts_against"":109,""fpts_against_decimal"":22,""fpts_decimal"":28,""losses"":0,""ppts"":136,""ppts_decimal"":98,""ties"":0,""total_moves"":0,""waiver_budget_used"":0,""waiver_position"":2,""wins"":2}"
1257071160403709954,5,862347851106197504,,"[""11560"",""4034"",""6790"",""3321"",""11628"",""11604"",""12469"",""2449"",""3678"",""SF""]","[""11560"",""11589"",""11604"",""11628"",""12469"",""12489"",""12506"",""2449"",""3321"",""3678"",""4034"",""6790"",""6819"",""7567"",""SF""]",,"{""fpts"":137,""fpts_against"":100,""fpts_against_decimal"":78,""fpts_decimal"":90,""losses"":0,""ppts"":159,""ppts_decimal"":30,""ties"":0,""total_moves"":0,""waiver_budget_used"":0,""waiver_position"":1,""wins"":2}"
1257071160403709954,6,862350761990959104,,"[""4046"",""9224"",""4035"",""11632"",""8137"",""8110"",""12514"",""7543"",""4666"",""LAR""]","[""11576"",""11632"",""12514"",""4035"",""4046"",""4217"",""4666"",""4950"",""7543"",""8110"",""8125"",""8134"",""8137"",""8698"",""9224"",""LAR""]","[""4217""]","{""fpts"":130,""fpts_against"":108,""fpts_against_decimal"":62,""fpts_decimal"":62,""losses"":0,""ppts"":137,""ppts_decimal"":2,""ties"":0,""total_moves"":0,""waiver_budget_used"":0,""waiver_position"":12,""wins"":2}"
1257071160403709954,7,862350775882452992,,"[""4984"",""4866"",""5892"",""11635"",""5846"",""10236"",""9500"",""5947"",""4227"",""PIT""]","[""10236"",""11624"",""11635"",""12481"",""12490"",""4144"",""4227"",""4866"",""4984"",""5846"",""5892"",""5947"",""6804"",""9500"",""PIT""]",,"{""fpts"":134,""fpts_against"":139,""fpts_against_decimal"":98,""fpts_decimal"":66,""losses"":1,""ppts"":147,""ppts_decimal"":16,""ties"":0,""total_moves"":0,""waiver_budget_used"":0,""waiver_position"":7,""wins"":1}"
1257071160403709954,8,862352168672399360,,"[""5849"",""12507"",""4199"",""6786"",""7569"",""9484"",""12530"",""11620"",""1945"",""DET""]","[""11620"",""12507"",""12530"",""1945"",""3163"",""4199"",""5849"",""6786"",""7553"",""7569"",""8151"",""9484"",""9504"",""9754"",""DET""]",,"{""fpts"":112,""fpts_against"":125,""fpts_against_decimal"":96,""fpts_decimal"":62,""losses"":2,""ppts"":123,""ppts_decimal"":92,""ties"":0,""total_moves"":0,""waiver_budget_used"":0,""waiver_position"":5,""wins"":0}"
1257071160403709954,9,866184397953585152,,"[""4881"",""9509"",""12533"",""5927"",""8144"",""10859"",""7526"",""8138"",""11786"",""BAL""]","[""10859"",""11626"",""11627"",""11786"",""12533"",""4881"",""5927"",""6797"",""7526"",""8138"",""8144"",""8154"",""9494"",""9508"",""9509"",""9756"",""BAL""]","[""9508"",""9756""]","{""fpts"":125,""fpts_against"":112,""fpts_against_decimal"":62,""fpts_decimal"":96,""losses"":0,""ppts"":136,""ppts_decimal"":16,""ties"":0,""total_moves"":0,""waiver_budget_used"":0,""waiver_position"":10,""wins"":2}"
1257071160403709954,10,869329176342204416,,"[""6904"",""8150"",""4137"",""7547"",""9997"",""1466"",""5872"",""4039"",""12711"",""BUF""]","[""10222"",""12711"",""1339"",""1466"",""4039"",""4137"",""4663"",""5848"",""5872"",""6904"",""7042"",""7090"",""7528"",""7547"",""8150"",""9997"",""BUF""]","[""7042"",""7090""]","{""fpts"":139,""fpts_against"":134,""fpts_against_decimal"":66,""fpts_decimal"":98,""losses"":0,""ppts"":153,""ppts_decimal"":8,""ties"":0,""total_moves"":0,""waiver_budget_used"":0,""waiver_position"":11,""wins"":2}"
1257071160403709954,11,869485306439704576,,"[""11566"",""7594"",""8228"",""6794"",""11631"",""4033"",""4983"",""8148"",""11539"",""PHI""]","[""11539"",""11566"",""11631"",""12504"",""12509"",""4033"",""4983"",""6794"",""7594"",""8131"",""8148"",""8183"",""8228"",""9225"",""PHI""]",,"{""fpts"":108,""fpts_against"":130,""fpts_against_decimal"":62,""fpts_decimal"":62,""losses"":2,""ppts"":108,""ppts_decimal"":62,""ties"":0,""total_moves"":0,""waiver_budget_used"":0,""waiver_position"":6,""wins"":0}"
1257071160403709954,12,870053621499387904,,"[""3294"",""12527"",""11584"",""9488"",""2216"",""5844"",""12526"",""8408"",""4195"",""DAL""]","[""11565"",""11584"",""12512"",""12526"",""12527"",""2216"",""3294"",""4018"",""4195"",""5844"",""7049"",""7611"",""8408"",""9488"",""DAL""]",,"{""fpts"":105,""fpts_against"":105,""fpts_against_decimal"":4,""fpts_decimal"":62,""losses"":1,""ppts"":120,""ppts_decimal"":2,""ties"":0,""total_moves"":0,""waiver_budget_used"":0,""waiver_position"":3,""wins"":1}"
