PLAYER_NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD
Derrick Henry,BAL,2.46,16.67,2.86,18,169,54,9.4,3.01,33.3,2
Travis Etienne,JAX,2.17,18.75,2.59,16,143,69,8.9,4.31,43.8,0
Breece Hall,NYJ,3.07,31.58,2.78,19,107,28,5.6,1.47,57.9,0
Jacory Croskey-Merritt,WAS,2.25,10,2.84,10,82,39,8.2,3.91,50.0,1
Jonathan Taylor,IND,3.89,16.67,2.62,18,71,-20,3.9,-1.1,27.8,0
Christian McCaffrey,SF,4.59,9.09,2.47,22,69,-25,3.1,-1.15,9.1,0
Jordan Mason,MIN,3.85,20,2.9,15,68,15,4.5,0.97,40.0,0
Josh Jacobs,GB,4.47,42.11,2.96,19,66,4,3.5,0.2,44.4,1
Kyren Williams,LAR,3.86,22.22,2.71,18,66,-5,3.7,-0.28,50.0,1
J.K. Dobbins,DEN,3.99,43.75,2.74,16,63,11,3.9,0.68,31.3,1
Saquon Barkley,PHI,4.84,66.67,3.19,18,60,8,3.3,0.44,50.0,1
Tony Pollard,TEN,4.36,16.67,2.85,18,60,-3,3.3,-0.18,38.9,0
Nick Chubb,HOU,2.79,15.38,2.55,13,60,11,4.6,0.83,46.2,0
Chuba Hubbard,CAR,3.42,--,2.71,16,57,-2,3.6,-0.1,31.3,0
Javonte Williams,DAL,3.49,26.67,2.56,15,54,2,3.6,0.15,60.0,2
D'Andre Swift,CHI,5.1,5.88,2.84,17,53,-20,3.1,-1.19,29.4,0
Omarion Hampton,LAC,5.48,20,2.78,15,48,-25,3.2,-1.67,40.0,0
Zach Charbonnet,SEA,4.69,25,3.03,12,47,-2,3.9,-0.2,45.5,1
Alvin Kamara,NO,3.8,18.18,2.6,11,45,2,4.1,0.2,27.3,1
James Cook,BUF,4.07,30.77,2.66,13,44,-3,3.4,-0.23,46.2,1
Chase Brown,CIN,6.1,33.33,3.14,21,43,-2,2.0,-0.12,52.4,1
DJ Giddens,IND,3.73,16.67,2.64,12,41,-2,3.4,-0.17,33.3,0
James Conner,ARI,4.9,25,2.91,12,39,-2,3.3,-0.18,33.3,0
Ashton Jeanty,LV,6.44,21.05,2.98,19,38,-20,2.0,-1.08,27.8,1
Bucky Irving,TB,5.4,21.43,2.67,14,37,-4,2.6,-0.3,53.8,0
Jaylen Warren,PIT,4.27,9.09,2.88,11,37,-7,3.4,-0.61,45.5,0
Dylan Sampson,CLE,6.33,--,3.22,12,29,-11,2.4,-0.92,33.3,0
David Montgomery,DET,5.34,9.09,2.64,11,25,-12,2.3,-1.05,18.2,0
Tyrone Tracy Jr.,NYG,5.94,10,3.01,10,24,-13,2.4,-1.26,40.0,0
Tyler Allgeier,ATL,6.04,30,2.54,10,24,-8,2.4,-0.82,30.0,0
Bijan Robinson,ATL,7.78,25,2.83,12,24,-14,2.0,-1.25,27.3,0
Kenneth Walker III,SEA,8.76,20,2.81,10,20,-21,2.0,-2.06,20.0,0
