PLAYER_NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%,+/-
Russell Wilson,NYG,2.69,10.6,12.7,-2.1,7.3,60.4,2.8,41,450,3,1,123.0,73.2,64.8,8.3
Dak Prescott,DAL,2.66,5.4,6.9,-1.5,23.1,42.7,-2.1,52,361,2,1,96.7,73.1,60.7,12.4
Jared Goff,DET,3.11,7.7,9.4,-1.7,21.4,51.4,1.4,28,334,5,0,156.0,82.1,65.3,16.8
Bryce Young,CAR,2.71,5.2,7.6,-2.5,20,27.4,-1.1,55,328,3,1,90.6,63.6,64.2,-0.5
Daniel Jones,IND,2.76,7.7,9.8,-2.2,29.4,54.4,2.2,34,316,1,0,107.0,67.6,53.1,14.5
Tua Tagovailoa,MIA,2.56,6.5,7.8,-1.2,12.5,56.1,-1.9,32,315,2,1,115.5,81.3,68.8,12.5
Matthew Stafford,LAR,2.67,7.2,8.5,-1.2,21.2,43.7,1.0,33,298,2,1,105.4,69.7,60.2,9.4
Sam Darnold,SEA,2.71,7.6,8.6,-1.0,12.1,46.2,-0.8,33,295,2,2,89.8,66.7,63.9,2.8
Jordan Love,GB,3.14,8.7,14.5,-5.9,9.7,51.2,4.6,31,292,2,0,113.9,61.3,54.3,7.0
Mac Jones,SF,2.81,5.5,6.5,-1.1,17.9,35.8,-2.6,39,279,3,0,113.1,66.7,67.8,-1.2
Trevor Lawrence,JAX,2.68,4.8,7.8,-3.0,11.9,34.2,0.5,42,271,3,2,80.6,57.1,67.6,-10.5
Justin Herbert,LAC,2.95,8.5,9.3,-0.8,11.1,51.4,0.6,27,242,2,0,122.8,70.4,74.9,-4.5
Jake Browning,CIN,2.42,5.6,8.4,-2.8,25,37.9,-0.9,32,241,2,3,69.9,65.6,61.7,3.9
Drake Maye,NE,2.57,5.6,6.0,-0.4,17.4,37.5,-3.4,23,230,2,0,137.3,82.6,69.2,13.5
Lamar Jackson,BAL,2.91,9.4,10.7,-1.3,20.7,55.9,2.2,29,225,4,0,128.6,65.5,57.4,8.2
Kyler Murray,ARI,2.63,6.8,7.5,-0.7,12,33.5,-2.5,25,220,1,1,92.1,68.0,71.5,-3.5
Baker Mayfield,TB,2.43,3.1,7.6,-4.5,10.5,36.7,-0.8,38,215,2,0,98.0,65.8,64.3,1.5
C.J. Stroud,HOU,3.15,6.2,8.6,-2.4,16.7,45.2,-0.1,24,207,1,0,97.0,54.2,57.0,-2.9
Spencer Rattler,NO,2.67,4.7,7.2,-2.5,17.6,44.8,-1.4,34,207,3,0,118.1,73.5,69.2,4.3
Caleb Williams,CHI,3.16,6.8,9.4,-2.5,16.7,39.7,-1.8,30,207,2,1,91.9,63.3,66.5,-3.1
Bo Nix,DEN,2.65,4.0,4.9,-1.0,6.7,48.6,-3.9,30,206,3,1,111.2,73.3,74.0,-0.7
Aaron Rodgers,PIT,2.87,3.8,7.2,-3.4,15.2,32.9,-2.1,33,203,1,2,58.0,54.5,58.1,-3.6
Jayden Daniels,WAS,2.84,3.6,7.1,-3.5,26.2,32.8,-1.4,42,200,2,0,85.4,57.1,60.2,-3.1
Joe Flacco,CLE,2.87,4.6,6.7,-2.1,15.6,38.9,-2.6,45,199,1,1,65.0,55.6,56.7,-1.1
Patrick Mahomes,KC,2.59,6.8,9.7,-2.9,20.7,59.5,1.9,29,187,1,1,72.1,55.2,67.1,-11.9
Geno Smith,LV,3.11,1.3,7.5,-6.2,27.9,23.0,-0.6,43,180,0,3,37.0,55.8,65.7,-9.8
Cam Ward,TEN,2.89,4.9,7.2,-2.2,18.2,42.3,-2.3,33,175,1,0,82.3,57.6,63.6,-6.0
J.J. McCarthy,MIN,3.35,10.3,11.9,-1.5,23.8,38.4,2.7,21,158,0,2,37.5,52.4,59.5,-7.1
Josh Allen,BUF,2.94,3.8,5.1,-1.3,12,28.3,-4.2,25,148,0,0,73.4,56.0,66.6,-10.6
Michael Penix Jr.,ATL,2.82,5.9,6.7,-0.8,--,26.4,-3.6,21,135,0,0,80.5,61.9,68.8,-6.9
Jalen Hurts,PHI,2.69,2.8,6.6,-3.8,22.7,40.4,-2.4,22,101,0,0,78.0,68.2,64.8,3.4
