0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Josh Allen,BUF,2.98,7.5,9.4,-1.9,6.5,35.5,0.6,46,394,2,0,112.0,71.7,68.1,3.6
Geno Smith,LV,2.79,9.3,10.6,-1.3,17.6,49.0,1.0,34,362,1,1,102.8,70.6,61.6,9.0
Justin Herbert,LAC,2.88,7.7,9.6,-1.9,14.7,30.7,-0.6,34,318,3,0,131.7,73.5,70.4,3.2
Michael Penix Jr.,ATL,2.56,4.0,7.3,-3.3,26.2,31.2,-1.3,42,298,1,0,93.2,64.3,64.3,0.0
Joe Flacco,CLE,2.8,3.5,5.2,-1.7,4.4,32.0,-3.8,45,290,1,2,75.2,68.9,66.6,2.3
Drake Maye,NE,2.8,5.7,8.0,-2.3,21.7,33.4,-1.5,46,287,1,1,80.6,65.2,63.6,1.6
Brock Purdy,SF,3.05,5.8,7.5,-1.7,14.3,49.4,-0.6,35,277,2,2,92.2,74.3,61.6,12.7
Daniel Jones,IND,2.52,6.8,6.8,0.0,17.2,45.7,-1.8,29,272,1,0,115.9,75.9,69.2,6.6
Patrick Mahomes,KC,2.38,5.6,7.0,-1.4,5.1,47.5,-1.8,39,258,1,0,89.5,61.5,69.4,-7.9
Matthew Stafford,LAR,2.42,8.0,7.8,0.2,10.3,50.6,-0.7,29,245,1,0,109.1,72.4,65.1,7.3
Aaron Rodgers,PIT,2.43,2.8,4.3,-1.4,20.0,36.4,-5.1,30,244,4,0,136.7,73.3,68.4,4.9
Jayden Daniels,WAS,2.73,7.0,9.4,-2.4,10.0,40.5,-0.2,30,233,1,0,98.3,63.3,64.9,-1.6
Jared Goff,DET,3.09,3.3,4.5,-1.2,15.4,38.2,-3.3,39,225,1,1,88.6,79.5,71.2,8.3
Justin Fields,NYJ,3.53,8.6,7.8,0.7,18.2,45.2,-0.2,22,218,1,0,119.1,72.7,64.5,8.3
Spencer Rattler,NO,2.52,4.4,7.1,-2.7,26.1,32.3,-1.2,46,214,0,0,70.4,58.7,57.8,0.9
Caleb Williams,CHI,3.04,6.2,7.6,-1.4,5.7,40.1,-2.8,35,210,1,0,86.6,60.0,73.2,-13.2
Lamar Jackson,BAL,2.7,6.5,9.1,-2.5,15.8,37.8,-0.5,19,209,2,0,144.4,73.7,73.4,0.3
C.J. Stroud,HOU,2.65,5.7,6.3,-0.6,7.4,37.5,-4.7,27,188,0,1,74.3,70.4,71.3,-0.9
Jordan Love,GB,2.84,8.5,10.1,-1.6,18.2,49.4,1.8,22,188,2,0,128.6,72.7,66.4,6.4
Dak Prescott,DAL,2.95,5.3,10.2,-4.8,26.5,37.9,1.1,34,188,0,0,76.6,61.8,57.2,4.6
Trevor Lawrence,JAX,2.74,4.7,7.2,-2.6,12.9,30.2,-3.6,31,178,1,1,74.4,61.3,67.2,-5.9
Bo Nix,DEN,2.83,3.0,6.0,-3.0,10.0,36.1,-3.2,40,176,1,2,60.0,62.5,63.7,-1.2
Russell Wilson,NYG,2.69,4.2,5.7,-1.5,18.9,34.6,-3.2,37,168,0,0,59.3,45.9,58.7,-12.7
Baker Mayfield,TB,2.95,7.1,10.2,-3.1,18.8,38.4,2.5,32,167,3,0,99.3,53.1,56.5,-3.3
Kyler Murray,ARI,2.48,2.8,5.3,-2.5,10.3,51.4,-3.7,29,163,2,0,108.8,72.4,76.3,-3.9
Bryce Young,CAR,2.66,5.0,8.5,-3.5,8.6,27.1,0.4,35,154,1,2,49.0,51.4,64.6,-13.2
Jalen Hurts,PHI,3.17,4.9,4.5,0.4,4.3,49.3,-3.9,23,152,0,0,94.2,82.6,67.5,15.2
Sam Darnold,SEA,2.59,6.1,8.3,-2.2,13.0,41.3,-1.1,23,150,0,0,87.2,69.6,63.3,6.3
J.J. McCarthy,MIN,2.94,6.0,8.6,-2.6,10.0,39.1,-0.9,20,143,2,1,98.5,65.0,66.7,-1.7
Tua Tagovailoa,MIA,2.64,3.5,6.9,-3.4,13.0,27.3,-0.8,23,114,1,2,51.7,60.9,68.3,-7.4
Joe Burrow,CIN,2.76,4.0,7.0,-3.0,21.7,31.1,-0.4,23,113,1,0,87.8,60.9,64.7,-3.8
Cam Ward,TEN,2.89,3.7,10.8,-7.1,21.4,31.9,-1.0,28,112,0,0,54.5,42.9,53.3,-10.5
