PLAYER_NAME,TEAM,POS,CLUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-
Malik Nabers,NYG,WR,7.0,2.4,20.9,53.47,9,13,69.23,167,2,2.2,2.3,-0.1
Ja'Marr Chase,CIN,WR,7.2,3.6,7.0,32.23,14,16,87.5,165,1,6.4,3.8,2.5
Wan'Dale Robinson,NYG,WR,6.3,3.4,16.1,31.56,8,10,80.0,142,1,4.3,2.6,1.6
Rome Odunze,CHI,WR,6.2,2.4,17.8,62.32,7,11,63.64,128,2,5.6,4.5,1.1
Tucker Kraft,GB,TE,4.1,3.9,8.3,14.84,6,7,85.71,124,1,12.3,9.3,2.9
Amon-Ra St. Brown,DET,WR,5.4,2.3,8.8,36.79,9,11,81.82,115,3,4.9,4.2,0.7
CeeDee Lamb,DAL,WR,5.2,2.2,10.9,33.38,9,11,81.82,112,0,2.0,2.9,-0.9
Tyreek Hill,MIA,WR,6.0,2.7,16.9,47.56,6,7,85.71,109,0,1.9,1.8,0.2
Davante Adams,LAR,WR,4.2,1.9,12.0,57.85,6,13,46.15,106,1,5.6,4.1,1.5
Jaxon Smith-Njigba,SEA,WR,6.1,3.4,8.7,33.79,8,10,80.0,103,0,3.9,4.8,-0.8
Tetairoa McMillan,CAR,WR,4.6,2.4,10.7,26.44,6,10,60.0,100,0,7.5,6.0,1.5
Puka Nacua,LAR,WR,5.7,3.0,7.6,25.39,8,9,88.89,91,0,4.7,3.8,0.9
Cooper Kupp,SEA,WR,7.4,3.8,8.9,31.2,7,9,77.78,90,0,5.7,3.4,2.3
Troy Franklin,DEN,WR,6.9,4.3,6.3,38.35,8,9,88.89,89,1,6.4,7.0,-0.5
Jauan Jennings,SF,WR,4.5,2.4,9.1,36.46,5,10,50.0,89,1,10.3,6.4,3.9
Justin Jefferson,MIN,WR,5.0,3.8,17.3,41.53,3,6,50.0,81,0,7.4,7.4,0.0
Tyler Warren,IND,TE,6.2,2.9,7.0,15.12,4,7,57.14,79,0,13.7,12.6,1.1
Jake Ferguson,DAL,TE,5.2,3.6,6.0,19.9,9,12,75.0,78,0,3.3,3.9,-0.6
Trey McBride,ARI,TE,3.8,3.0,9.0,33.48,6,7,85.71,78,0,3.4,3.9,-0.5
Parker Washington,JAX,WR,6.8,3.3,5.4,8.57,5,5,100.0,76,0,9.8,4.6,5.2
Zay Flowers,BAL,WR,5.9,2.9,11.8,43.38,7,11,63.64,75,0,3.4,2.7,0.6
