PLAYER_NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD
Jonathan Taylor,IND,2.51,24,2.63,25,165,56,6.6,2.26,48.0,0
Bijan Robinson,ATL,3.07,4.55,2.96,22,143,42,6.5,1.9,54.5,0
James Cook,BUF,2.63,33.33,2.54,21,132,42,6.3,2.0,52.4,2
Kenneth Walker III,SEA,2.77,61.54,3.04,13,105,34,8.1,2.64,53.8,1
Alvin Kamara,NO,3.36,--,2.46,21,99,-1,4.7,-0.05,38.1,0
Javonte Williams,DAL,2.94,16.67,3.09,18,97,29,5.4,1.59,38.9,1
Jahmyr Gibbs,DET,3.19,16.67,3.13,12,94,16,7.8,1.31,50.0,1
Tony Pollard,TEN,3.37,5,2.7,20,92,11,4.6,0.55,50.0,0
Saquon Barkley,PHI,4.19,13.64,3.08,22,88,-14,4.0,-0.7,45.0,1
Josh Jacobs,GB,3.72,17.39,2.52,23,84,-31,3.7,-1.36,39.1,1
Tyler Allgeier,ATL,3.3,31.25,2.68,16,76,17,4.8,1.09,68.8,1
J.K. Dobbins,DEN,2.82,35.71,2.6,14,76,4,5.4,0.36,41.7,1
Travis Etienne,JAX,3.86,--,2.95,14,71,0,5.1,-0.03,28.6,0
Bucky Irving,TB,3.58,23.53,2.89,17,71,0,4.2,-0.01,52.9,0
Kyren Williams,LAR,3.99,35.29,2.82,17,66,2,3.9,0.11,31.3,0
Rachaad White,TB,2.43,40,2.42,10,65,25,6.5,2.48,60.0,1
D'Andre Swift,CHI,3.92,25,3.33,12,63,13,5.3,1.09,50.0,1
Quinshon Judkins,CLE,3.28,10,3.26,10,61,22,6.1,2.24,50.0,0
David Montgomery,DET,3.4,54.55,2.67,11,57,17,5.2,1.55,36.4,1
Christian McCaffrey,SF,4.11,30.77,2.92,13,55,-3,4.2,-0.19,61.5,0
Rhamondre Stevenson,NE,3.16,36.36,2.47,11,54,18,4.9,1.64,54.5,0
Jaylen Warren,PIT,4.17,35.71,2.65,14,48,5,3.4,0.36,64.3,0
Chase Brown,CIN,4.77,--,2.69,16,47,-17,2.9,-1.06,25.0,0
Cam Skattebo,NYG,3.28,18.18,2.72,11,45,4,4.1,0.34,36.4,1
Nick Chubb,HOU,3.85,50,2.82,12,43,10,3.6,0.87,41.7,1
Ashton Jeanty,LV,4.75,18.18,2.67,11,43,-25,3.9,-2.29,18.2,0
Chuba Hubbard,CAR,3.38,10,2.48,10,38,-6,3.8,-0.62,30.0,0
James Conner,ARI,4.6,27.27,2.8,11,34,-10,3.1,-0.91,36.4,1
De'Von Achane,MIA,6.51,--,2.87,11,30,-22,2.7,-2.02,45.5,0
Breece Hall,NYJ,5.0,20,2.83,10,29,-16,2.9,-1.61,40.0,0
Derrick Henry,BAL,7.67,54.55,2.98,11,23,-7,2.1,-0.62,36.4,0
Isiah Pacheco,KC,6.25,--,2.85,10,22,-18,2.2,-1.78,30.0,0
Zach Charbonnet,SEA,23.18,53.33,3.15,15,10,-43,0.7,-2.89,6.7,0
