player_id,player_name,position,season,week,carries,targets,receptions,touches,actual_fpts,exp_fpts,delta,flag
00-0035228,Kyler Murray,QB,2024,1,5,0,0,5,16.18,14.91,1.2699999999999996,Neutral
00-0033553,James Conner,RB,2024,1,16,4,3,19,19.3,17.28,2.0199999999999996,Neutral
00-0035500,Greg Dortch,WR,2024,1,1,8,6,7,11.1,12.45,-1.3500000000000014,Neutral
00-0039849,Marvin Harrison Jr.,WR,2024,1,0,3,1,1,1.4,4.75,-3.35,Neutral
00-0038559,Michael Wilson,WR,2024,1,0,2,1,1,7.5,4.85,2.6500000000000004,Neutral
00-0034857,Josh Allen,QB,2024,1,9,0,0,9,33.18,19.66,13.52,Buy-Low
00-0033555,Mack Hollins,WR,2024,1,0,2,2,2,10.5,5.04,5.46,Buy-Low
00-0038705,Emari Demercado,RB,2024,1,0,2,2,2,4.6,2.92,1.6799999999999995,Neutral
00-0037744,Trey McBride,TE,2024,1,0,9,5,5,8.0,14.09,-6.09,Sell-High
00-0039041,Elijah Higgins,TE,2024,1,0,2,2,2,3.2,3.02,0.1800000000000001,Neutral
00-0035689,Dawson Knox,TE,2024,1,0,2,1,1,3.3,3.28,0.02,Neutral
00-0039921,Trey Benson,RB,2024,1,3,1,1,4,2.8,3.3899999999999997,-0.5899999999999999,Neutral
00-0033282,Curtis Samuel,WR,2024,1,0,2,2,2,3.5,2.82,0.6800000000000002,Neutral
00-0037261,Khalil Shakir,WR,2024,1,0,3,3,3,13.2,4.75,8.45,Buy-Low
00-0039901,Keon Coleman,WR,2024,1,0,5,4,4,9.1,9.58,-0.4800000000000004,Neutral
00-0037248,James Cook,RB,2024,1,19,3,3,22,13.3,14.03,-0.7300000000000004,Neutral
00-0039875,Ray Davis,RB,2024,1,3,1,1,4,3.7,3.3,0.4000000000000003,Neutral
00-0038933,Dalton Kincaid,TE,2024,1,0,2,1,1,2.1,3.08,-0.98,Neutral
00-0034272,Marquez Valdes-Scantling,WR,2024,1,0,2,1,1,2.9,4.29,-1.39,Neutral
00-0035537,Ty Johnson,RB,2024,1,2,1,0,2,0.7,2.54,-1.84,Neutral
00-0034796,Lamar Jackson,QB,2024,1,16,0,0,16,27.119999999999997,28.79,-1.6700000000000017,Neutral
00-0034975,Justice Hill,RB,2024,1,1,8,6,7,11.5,13.29,-1.790000000000001,Neutral
00-0032764,Derrick Henry,RB,2024,1,13,2,0,13,10.6,9.47,1.1300000000000008,Neutral
00-0039064,Zay Flowers,WR,2024,1,2,10,6,8,11.1,17.52,-6.42,Sell-High
00-0033873,Patrick Mahomes,QB,2024,1,2,1,1,3,15.14,13.14,2.0000000000000018,Neutral
00-0039067,Rashee Rice,WR,2024,1,0,9,7,7,17.3,14.35,2.950000000000001,Neutral
00-0037838,Isaiah Likely,TE,2024,1,0,12,9,9,26.1,20.02,6.080000000000002,Buy-Low
00-0037197,Isiah Pacheco,RB,2024,1,15,3,2,17,15.8,14.67,1.1300000000000008,Neutral
00-0036637,Noah Gray,TE,2024,1,0,3,3,3,6.7,4.99,1.71,Neutral
00-0033857,JuJu Smith-Schuster,WR,2024,1,0,1,0,0,0.0,2.15,-2.15,Neutral
00-0030506,Travis Kelce,TE,2024,1,0,4,3,3,6.4,6.4,0.0,Neutral
00-0039894,Xavier Worthy,WR,2024,1,1,3,2,3,20.799999999999997,6.41,14.389999999999995,Buy-Low
00-0036550,Rashod Bateman,WR,2024,1,0,5,2,2,7.3,7.86,-0.5600000000000005,Neutral
00-0034386,Justin Watson,WR,2024,1,0,1,1,1,3.5,2.03,1.4700000000000002,Neutral
00-0034753,Mark Andrews,TE,2024,1,0,2,2,2,3.4,2.83,0.5699999999999998,Neutral
00-0033526,Samaje Perine,RB,2024,1,0,2,1,1,2.0,3.0,-1.0,Neutral
,,,2024,1,0,1,0,0,0.0,1.44,-1.44,Neutral
00-0031549,Nelson Agholor,WR,2024,1,0,1,1,1,1.6,1.47,0.1300000000000001,Neutral
,,,2024,1,0,1,0,0,0.0,1.27,-1.27,Neutral
00-0031280,Derek Carr,QB,2024,1,2,0,0,2,21.3,15.59,5.710000000000001,Buy-Low
00-0034981,Foster Moreau,TE,2024,1,0,4,4,4,14.3,10.07,4.23,Buy-Low
00-0033906,Alvin Kamara,RB,2024,1,15,5,5,20,22.0,23.91,-1.91,Neutral
00-0037545,Rashid Shaheed,WR,2024,1,0,5,3,3,16.3,9.53,6.770000000000001,Buy-Low
00-0039150,Bryce Young,QB,2024,1,4,0,0,4,9.64,17.98,-8.34,Sell-High
